,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude,Group
9,1.0,Hà Nội,2017.0,5.0,24.0,76.0,28.1,105.4,147.9,21.028333,105.853333,1
10,1.0,Hà Nội,2017.0,6.0,19.0,74.0,30.8,212.9,123.9,21.028333,105.853333,1
11,1.0,Hà Nội,2017.0,7.0,44.0,80.0,29.4,449.1,111.6,21.028333,105.853333,1
12,1.0,Hà Nội,2017.0,8.0,48.0,79.0,29.5,283.2,107.6,21.028333,105.853333,1
13,1.0,Hà Nội,2017.0,9.0,16.0,82.0,29.3,266.9,97.9,21.028333,105.853333,1
14,1.0,Hà Nội,2017.0,10.0,21.0,76.0,26.0,259.7,93.7,21.028333,105.853333,1
15,1.0,Hà Nội,2017.0,11.0,15.0,71.0,22.7,19.4,75.1,21.028333,105.853333,1
16,1.0,Hà Nội,2017.0,12.0,16.0,70.0,18.1,47.5,67.6,21.028333,105.853333,1
17,1.0,Hà Nội,2018.0,1.0,11.0,78.0,18.1,16.6,24.9,21.028333,105.853333,1
18,1.0,Hà Nội,2018.0,2.0,8.0,70.0,17.5,10.0,24.9,21.028333,105.853333,1
19,1.0,Hà Nội,2018.0,3.0,34.0,77.0,22.7,34.0,83.2,21.028333,105.853333,1
20,1.0,Hà Nội,2018.0,4.0,89.0,77.0,24.4,58.8,63.1,21.028333,105.853333,1
21,1.0,Hà Nội,2018.0,5.0,36.0,75.0,29.5,209.0,208.1,21.028333,105.853333,1
22,1.0,Hà Nội,2018.0,6.0,42.0,71.0,30.6,188.5,156.0,21.028333,105.853333,1
23,1.0,Hà Nội,2018.0,7.0,63.0,74.0,30.1,428.1,130.0,21.028333,105.853333,1
24,1.0,Hà Nội,2018.0,8.0,18.0,80.0,29.1,313.4,124.8,21.028333,105.853333,1
25,1.0,Hà Nội,2018.0,9.0,79.0,74.0,29.0,229.7,118.6,21.028333,105.853333,1
26,1.0,Hà Nội,2018.0,10.0,15.0,73.0,26.1,94.4,133.6,21.028333,105.853333,1
27,1.0,Hà Nội,2018.0,11.0,17.0,75.0,24.2,28.2,115.1,21.028333,105.853333,1
28,1.0,Hà Nội,2018.0,12.0,8.0,79.0,19.9,84.2,91.9,21.028333,105.853333,1
29,1.0,Hà Nội,2019.0,1.0,7.0,77.0,18.0,16.6,28.5,21.028333,105.853333,1
30,1.0,Hà Nội,2019.0,2.0,9.0,79.0,22.4,28.8,78.6,21.028333,105.853333,1
31,1.0,Hà Nội,2019.0,3.0,11.0,81.0,22.6,15.1,44.6,21.028333,105.853333,1
32,1.0,Hà Nội,2019.0,4.0,36.0,82.0,27.5,166.2,98.3,21.028333,105.853333,1
33,1.0,Hà Nội,2019.0,5.0,24.0,79.0,28.2,96.8,95.5,21.028333,105.853333,1
34,1.0,Hà Nội,2019.0,6.0,20.0,72.0,31.6,97.1,137.8,21.028333,105.853333,1
35,1.0,Hà Nội,2019.0,7.0,5.0,72.0,31.4,135.8,139.8,21.028333,105.853333,1
36,1.0,Hà Nội,2019.0,8.0,15.0,78.0,29.9,488.6,137.0,21.028333,105.853333,1
37,1.0,Hà Nội,2019.0,9.0,32.0,68.0,29.5,113.5,183.7,21.028333,105.853333,1
38,1.0,Hà Nội,2019.0,10.0,24.0,74.0,26.7,105.0,127.0,21.028333,105.853333,1
39,1.0,Hà Nội,2019.0,11.0,17.0,73.0,23.5,44.4,126.1,21.028333,105.853333,1
40,1.0,Hà Nội,2019.0,12.0,4.0,69.0,19.6,3.5,128.1,21.028333,105.853333,1
84,8.0,Tuyên Quang,2017.0,1.0,5.0,83.0,19.0,161.9,67.4,21.777355,105.228424,1
85,8.0,Tuyên Quang,2017.0,2.0,52.0,74.0,19.5,5.6,73.6,21.777355,105.228424,1
86,8.0,Tuyên Quang,2017.0,3.0,8.0,84.0,21.4,88.5,61.3,21.777355,105.228424,1
87,8.0,Tuyên Quang,2017.0,4.0,76.0,81.0,24.5,83.8,102.6,21.777355,105.228424,1
88,8.0,Tuyên Quang,2017.0,5.0,143.0,76.0,27.7,120.4,196.9,21.777355,105.228424,1
89,8.0,Tuyên Quang,2017.0,6.0,50.0,81.0,29.2,476.5,146.2,21.777355,105.228424,1
90,8.0,Tuyên Quang,2017.0,7.0,15.0,85.0,28.2,512.5,141.3,21.777355,105.228424,1
91,8.0,Tuyên Quang,2017.0,8.0,7.0,85.0,28.3,455.2,147.3,21.777355,105.228424,1
92,8.0,Tuyên Quang,2017.0,9.0,22.0,85.0,28.4,261.7,177.3,21.777355,105.228424,1
93,8.0,Tuyên Quang,2017.0,10.0,36.0,85.0,25.0,122.0,120.8,21.777355,105.228424,1
94,8.0,Tuyên Quang,2017.0,11.0,36.0,80.0,21.7,21.3,115.1,21.777355,105.228424,1
95,8.0,Tuyên Quang,2017.0,12.0,33.0,79.0,17.2,63.3,98.5,21.777355,105.228424,1
96,8.0,Tuyên Quang,2018.0,1.0,25.0,83.0,17.8,41.4,41.7,21.777355,105.228424,1
97,8.0,Tuyên Quang,2018.0,2.0,260.0,77.0,17.4,10.5,45.8,21.777355,105.228424,1
98,8.0,Tuyên Quang,2018.0,3.0,592.0,81.0,22.3,51.3,96.8,21.777355,105.228424,1
99,8.0,Tuyên Quang,2018.0,4.0,349.0,80.0,24.2,141.2,71.9,21.777355,105.228424,1
100,8.0,Tuyên Quang,2018.0,5.0,73.0,79.0,28.5,186.4,217.7,21.777355,105.228424,1
101,8.0,Tuyên Quang,2018.0,6.0,47.0,80.0,29.2,133.0,157.1,21.777355,105.228424,1
102,8.0,Tuyên Quang,2018.0,7.0,25.0,83.0,29.1,364.4,178.6,21.777355,105.228424,1
103,8.0,Tuyên Quang,2018.0,8.0,5.0,85.0,28.5,278.5,146.5,21.777355,105.228424,1
104,8.0,Tuyên Quang,2018.0,9.0,26.0,82.0,28.1,154.7,176.0,21.777355,105.228424,1
105,8.0,Tuyên Quang,2018.0,10.0,37.0,80.0,24.9,128.9,140.5,21.777355,105.228424,1
106,8.0,Tuyên Quang,2018.0,11.0,95.0,82.0,22.9,12.2,138.4,21.777355,105.228424,1
