,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude,Group
0,1.0,Hà Nội,2011.0,12.0,1.0,67.0,17.4,51.5,95.6,21.028333,105.853333,2
1,1.0,Hà Nội,2012.0,12.0,1.0,79.0,18.7,25.7,42.2,21.028333,105.853333,2
2,1.0,Hà Nội,2013.0,12.0,1.0,68.0,16.3,22.2,158.7,21.028333,105.853333,2
3,1.0,Hà Nội,2014.0,1.0,1.0,71.0,17.7,0.7,119.2,21.028333,105.853333,2
4,1.0,Hà Nội,2014.0,2.0,1.0,79.0,17.2,16.1,31.9,21.028333,105.853333,2
5,1.0,Hà Nội,2015.0,4.0,1.0,78.0,25.4,21.6,114.3,21.028333,105.853333,2
6,1.0,Hà Nội,2016.0,3.0,1.0,83.0,20.2,24.7,22.7,21.028333,105.853333,2
7,1.0,Hà Nội,2016.0,10.0,2.0,71.0,28.1,45.0,144.5,21.028333,105.853333,2
8,1.0,Hà Nội,2016.0,12.0,1.0,64.0,21.4,9.0,135.0,21.028333,105.853333,2
41,8.0,Tuyên Quang,2011.0,2.0,10.0,83.0,17.6,12.1,35.6,21.777355,105.228424,1
42,8.0,Tuyên Quang,2011.0,3.0,9.0,83.0,17.0,116.5,28.0,21.777355,105.228424,1
43,8.0,Tuyên Quang,2011.0,4.0,4.0,84.0,23.4,58.4,70.8,21.777355,105.228424,1
44,8.0,Tuyên Quang,2011.0,5.0,19.0,81.0,26.4,234.9,171.3,21.777355,105.228424,1
45,8.0,Tuyên Quang,2011.0,6.0,1.0,82.0,29.0,181.5,158.4,21.777355,105.228424,1
46,8.0,Tuyên Quang,2011.0,7.0,4.0,82.0,29.1,209.1,196.8,21.777355,105.228424,1
47,8.0,Tuyên Quang,2011.0,10.0,1.0,83.0,23.9,87.7,109.2,21.777355,105.228424,1
48,8.0,Tuyên Quang,2011.0,11.0,1.0,84.0,22.2,35.0,155.7,21.777355,105.228424,1
49,8.0,Tuyên Quang,2012.0,2.0,4.0,85.0,15.9,18.7,16.0,21.777355,105.228424,1
50,8.0,Tuyên Quang,2012.0,3.0,24.0,82.0,20.5,36.6,57.4,21.777355,105.228424,1
51,8.0,Tuyên Quang,2012.0,4.0,31.0,78.0,26.3,104.7,166.2,21.777355,105.228424,1
52,8.0,Tuyên Quang,2012.0,5.0,21.0,79.0,28.8,256.5,194.9,21.777355,105.228424,1
53,8.0,Tuyên Quang,2012.0,6.0,5.0,81.0,29.4,162.5,121.2,21.777355,105.228424,1
54,8.0,Tuyên Quang,2012.0,9.0,1.0,84.0,26.7,184.9,145.1,21.777355,105.228424,1
55,8.0,Tuyên Quang,2012.0,12.0,1.0,83.0,17.9,25.2,37.6,21.777355,105.228424,1
56,8.0,Tuyên Quang,2013.0,3.0,37.0,78.0,24.1,25.5,123.0,21.777355,105.228424,1
57,8.0,Tuyên Quang,2013.0,4.0,9.0,79.0,24.9,82.5,102.9,21.777355,105.228424,1
58,8.0,Tuyên Quang,2013.0,5.0,3.0,79.0,28.2,165.8,191.9,21.777355,105.228424,1
59,8.0,Tuyên Quang,2013.0,6.0,7.0,78.0,29.0,194.0,193.6,21.777355,105.228424,1
60,8.0,Tuyên Quang,2013.0,10.0,1.0,81.0,24.1,95.8,161.8,21.777355,105.228424,1
61,8.0,Tuyên Quang,2013.0,12.0,15.0,78.0,15.1,73.6,156.7,21.777355,105.228424,1
62,8.0,Tuyên Quang,2014.0,1.0,25.0,77.0,16.2,3.8,127.8,21.777355,105.228424,1
63,8.0,Tuyên Quang,2014.0,2.0,8.0,82.0,17.1,35.7,42.2,21.777355,105.228424,1
64,8.0,Tuyên Quang,2014.0,3.0,2.0,87.0,20.3,53.3,20.4,21.777355,105.228424,1
65,8.0,Tuyên Quang,2014.0,4.0,4.0,86.0,25.4,134.6,38.1,21.777355,105.228424,1
66,8.0,Tuyên Quang,2014.0,5.0,20.0,77.0,28.9,110.9,202.2,21.777355,105.228424,1
67,8.0,Tuyên Quang,2014.0,6.0,2.0,82.0,29.4,149.0,133.7,21.777355,105.228424,1
68,8.0,Tuyên Quang,2014.0,10.0,3.0,81.0,25.5,163.0,165.0,21.777355,105.228424,1
69,8.0,Tuyên Quang,2014.0,12.0,7.0,76.0,16.7,7.9,91.8,21.777355,105.228424,1
70,8.0,Tuyên Quang,2015.0,1.0,2.0,82.0,17.2,65.5,100.0,21.777355,105.228424,1
