,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude,Group
9,1.0,Hà Nội,2017.0,5.0,24.0,76.0,28.1,105.4,147.9,21.028333,105.853333,1
10,1.0,Hà Nội,2017.0,6.0,19.0,74.0,30.8,212.9,123.9,21.028333,105.853333,1
11,1.0,Hà Nội,2017.0,7.0,44.0,80.0,29.4,449.1,111.6,21.028333,105.853333,1
12,1.0,Hà Nội,2017.0,8.0,48.0,79.0,29.5,283.2,107.6,21.028333,105.853333,1
13,1.0,Hà Nội,2017.0,9.0,16.0,82.0,29.3,266.9,97.9,21.028333,105.853333,1
14,1.0,Hà Nội,2017.0,10.0,21.0,76.0,26.0,259.7,93.7,21.028333,105.853333,1
15,1.0,Hà Nội,2017.0,11.0,15.0,71.0,22.7,19.4,75.1,21.028333,105.853333,1
16,1.0,Hà Nội,2017.0,12.0,16.0,70.0,18.1,47.5,67.6,21.028333,105.853333,1
84,8.0,Tuyên Quang,2017.0,1.0,5.0,83.0,19.0,161.9,67.4,21.777355,105.228424,1
85,8.0,Tuyên Quang,2017.0,2.0,52.0,74.0,19.5,5.6,73.6,21.777355,105.228424,1
86,8.0,Tuyên Quang,2017.0,3.0,8.0,84.0,21.4,88.5,61.3,21.777355,105.228424,1
87,8.0,Tuyên Quang,2017.0,4.0,76.0,81.0,24.5,83.8,102.6,21.777355,105.228424,1
88,8.0,Tuyên Quang,2017.0,5.0,143.0,76.0,27.7,120.4,196.9,21.777355,105.228424,1
89,8.0,Tuyên Quang,2017.0,6.0,50.0,81.0,29.2,476.5,146.2,21.777355,105.228424,1
90,8.0,Tuyên Quang,2017.0,7.0,15.0,85.0,28.2,512.5,141.3,21.777355,105.228424,1
91,8.0,Tuyên Quang,2017.0,8.0,7.0,85.0,28.3,455.2,147.3,21.777355,105.228424,1
92,8.0,Tuyên Quang,2017.0,9.0,22.0,85.0,28.4,261.7,177.3,21.777355,105.228424,1
93,8.0,Tuyên Quang,2017.0,10.0,36.0,85.0,25.0,122.0,120.8,21.777355,105.228424,1
94,8.0,Tuyên Quang,2017.0,11.0,36.0,80.0,21.7,21.3,115.1,21.777355,105.228424,1
95,8.0,Tuyên Quang,2017.0,12.0,33.0,79.0,17.2,63.3,98.5,21.777355,105.228424,1
165,12.0,Lai Châu,2017.0,1.0,1.0,83.0,14.8,72.2,122.0,22.362776,103.265991,0
166,12.0,Lai Châu,2017.0,2.0,111.0,78.0,15.1,16.0,150.5,22.362776,103.265991,0
167,12.0,Lai Châu,2017.0,3.0,327.0,78.0,18.6,218.3,184.2,22.362776,103.265991,0
168,12.0,Lai Châu,2017.0,4.0,347.0,79.0,20.4,217.8,164.5,22.362776,103.265991,0
169,12.0,Lai Châu,2017.0,5.0,156.0,79.0,22.3,194.6,198.6,22.362776,103.265991,0
170,12.0,Lai Châu,2017.0,6.0,28.0,87.0,23.4,637.6,110.4,22.362776,103.265991,0
171,12.0,Lai Châu,2017.0,7.0,4.0,87.0,22.6,639.8,121.4,22.362776,103.265991,0
172,12.0,Lai Châu,2017.0,8.0,3.0,92.0,23.4,566.8,104.5,22.362776,103.265991,0
173,12.0,Lai Châu,2017.0,9.0,43.0,89.0,23.9,284.6,132.9,22.362776,103.265991,0
174,12.0,Lai Châu,2017.0,10.0,64.0,89.0,21.0,160.0,112.5,22.362776,103.265991,0
175,12.0,Lai Châu,2017.0,11.0,89.0,86.0,17.0,136.1,138.8,22.362776,103.265991,0
176,12.0,Lai Châu,2017.0,12.0,95.0,85.0,13.8,35.3,158.8,22.362776,103.265991,0
252,14.0,Sơn La,2017.0,1.0,3.0,82.0,17.1,150.8,102.3,21.328716,103.914528,0
253,14.0,Sơn La,2017.0,2.0,141.0,73.0,17.0,19.5,156.2,21.328716,103.914528,0
254,14.0,Sơn La,2017.0,3.0,452.0,70.0,21.1,83.9,200.1,21.328716,103.914528,0
255,14.0,Sơn La,2017.0,4.0,373.0,75.0,23.0,112.2,187.1,21.328716,103.914528,0
256,14.0,Sơn La,2017.0,5.0,254.0,74.0,24.6,81.1,231.1,21.328716,103.914528,0
257,14.0,Sơn La,2017.0,6.0,15.0,78.0,26.1,136.2,162.2,21.328716,103.914528,0
258,14.0,Sơn La,2017.0,7.0,11.0,84.0,25.2,227.5,157.2,21.328716,103.914528,0
259,14.0,Sơn La,2017.0,8.0,5.0,85.0,25.1,319.5,145.6,21.328716,103.914528,0
260,14.0,Sơn La,2017.0,9.0,78.0,83.0,25.2,105.4,172.4,21.328716,103.914528,0
261,14.0,Sơn La,2017.0,10.0,108.0,80.0,22.0,76.4,132.4,21.328716,103.914528,0
262,14.0,Sơn La,2017.0,11.0,172.0,81.0,18.5,10.2,137.6,21.328716,103.914528,0
263,14.0,Sơn La,2017.0,12.0,231.0,80.0,15.0,59.3,142.3,21.328716,103.914528,0
330,36.0,Nam Định,2017.0,5.0,6.0,82.0,27.1,78.1,154.7,20.25,106.25,1
331,36.0,Nam Định,2017.0,6.0,4.0,80.0,29.8,251.0,144.4,20.25,106.25,1
332,36.0,Nam Định,2017.0,7.0,2.0,84.0,28.9,393.0,107.3,20.25,106.25,1
333,36.0,Nam Định,2017.0,8.0,23.0,85.0,29.1,375.5,125.9,20.25,106.25,1
334,36.0,Nam Định,2017.0,9.0,5.0,87.0,28.7,388.8,148.1,20.25,106.25,1
335,36.0,Nam Định,2017.0,10.0,2.0,83.0,25.1,502.2,89.3,20.25,106.25,1
336,36.0,Nam Định,2017.0,12.0,1.0,77.0,17.5,34.9,79.0,20.25,106.25,1
425,46.0,Huế,2017.0,3.0,16.0,92.0,23.5,47.3,145.1,16.4666648,107.5999976,2
426,46.0,Huế,2017.0,4.0,75.0,88.0,25.8,30.3,169.8,16.4666648,107.5999976,2
427,46.0,Huế,2017.0,5.0,39.0,86.0,27.5,231.5,179.4,16.4666648,107.5999976,2
428,46.0,Huế,2017.0,6.0,93.0,80.0,29.4,106.4,262.1,16.4666648,107.5999976,2
429,46.0,Huế,2017.0,7.0,28.0,85.0,28.1,359.3,194.5,16.4666648,107.5999976,2
430,46.0,Huế,2017.0,8.0,67.0,82.0,28.8,133.9,238.4,16.4666648,107.5999976,2
