,#,Tên huyện,Số điểm cháy
0,1,Bá Thước,85
1,2,Hà Trung,32
2,3,Lang Chánh,229
3,4,TX. Bỉm Sơn,230
4,5,Thạch Thành,82
5,6,Triệu Sơn,23
6,7,Cẩm Thủy,137
7,8,Như Xuân,259
8,9,Quan Sơn,321
9,10,Quan Hóa,256
10,11,TX. Sầm Sơn,18
11,12,Tĩnh Gia,485
12,13,Nga Sơn,1
13,14,Nông Cống,24
14,15,Thường Xuân,234
15,16,Như Thanh,206
16,17,Vĩnh Lộc,9
17,18,Mường Lát,1320
18,19,Yên Định,19
19,20,Thiệu Hóa,3
20,21,Đông Sơn,1
21,22,Quảng Xương,4
22,23,Hoằng Hóa,10
23,24,Ngọc Lặc,74
24,25,Thọ Xuân,14
25,26,Thanh Hóa,50
