,#,Tên tỉnh,Số điểm cháy
0,1,Kon Tum,1873
1,2,Điện Biên,1567
2,3,Lai Châu,1102
3,4,Sơn La,1055
4,5,Đắk Lắk,904
5,6,Gia Lai,800
6,7,Quảng Nam,442
7,8,Nghệ An,384
8,9,Đắk Nông,351
9,10,Quảng Ngãi,255
10,11,Lâm Đồng,230
11,12,Thanh Hoá,211
12,13,Bình Định,197
13,14,Quảng Ninh,194
14,15,Bắc Kạn,148
15,16,Quảng Bình,120
16,17,Thừa Thiên Huế,119
17,18,Bình Thuận,110
18,19,Bình Phước,100
19,20,Yên Bái,91
20,21,Tuyên Quang,87
21,22,Lào Cai,82
22,23,Hà Tĩnh,81
23,24,Cao Bằng,81
24,25,Phú Yên,74
25,26,Hà Giang,72
26,27,Khánh Hòa,59
27,28,Lạng Sơn,59
28,29,Ninh Thuận,51
29,30,Đồng Nai,48
30,31,Hòa Bình,39
31,32,Kiên Giang,35
32,33,Bà Rịa-Vũng Tàu,34
33,34,Thái Nguyên,33
34,35,Phú Thọ,31
35,36,Bắc Giang,27
36,37,Long An,12
37,38,Tây Ninh,5
38,39,Đồng Tháp,4
39,40,Cà Mau,4
40,41,Tiền Giang,1
41,42,An Giang,1
42,43,Vĩnh Phúc,1
