,#,Tên vườn quốc gia,Số điểm cháy
0,1,Vườn quốc gia Yok Đôn,595
1,2,Vườn quốc gia Phú Quốc,29
2,3,Vườn quốc gia Cát Tiên,26
3,4,Vườn quốc gia Xuân Sơn,17
4,5,Vườn quốc gia Núi Chúa,16
5,6,Vườn quốc gia Chư Yang Sin,16
6,7,Vườn quốc gia Chư Mom Ray,15
7,8,Vườn quốc gia U Minh Hạ,11
8,9,Vườn quốc gia Phong Nha Kẻ Bàng,10
9,10,Vườn quốc gia Vũ Quang,10
10,11,Vườn quốc gia Phước Bình,10
11,12,Vườn quốc gia Tràm Chim,9
12,13,Vườn quốc gia Kon Ka Kinh,8
13,14,Vườn quốc gia Bidoup-Núi Bà,6
14,15,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,6
15,16,Vườn quốc gia Lò Gò Xa Mát,6
16,17,Vườn quốc gia Tam Đảo,5
17,18,Vườn quốc gia Pù Mát,5
18,19,Vườn quốc gia U Minh Thượng,4
19,20,Vườn quốc gia Bến En,3
20,21,Vườn quốc gia Hoàng Liên,2
21,22,Vườn quốc gia Cát Bà,2
22,23,Vườn quốc gia Cúc Phương,2
23,24,Vườn quốc gia Ba Bể,2
24,25,Vườn quốc gia Mũi Cà Mau,2
25,26,Vườn quốc gia Bạch Mã,1
