"Tổng số giờ nắng tại một số trạm quan trắc chia theo Tỉnh, thành phố và Năm"
,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Lai Châu,"1.884,0","1.600,0","1.645,0","2.049,9","1.913,8","1.664,1","1.846,5","1.964,8","1.951,0","2.023,6","1.996,2","1.699,1","1.845,0","2.190,4"
Sơn La,"2.063,0","2.083,0","1.831,0","2.208,1","2.163,2","1.782,8","2.068,3","2.026,5","2.155,1","2.251,9","2.261,5","1.926,5","2.020,5","2.390,0"
Tuyên Quang,"1.421,0","1.472,0","1.358,0","1.578,0","1.578,0","1.389,6","1.372,5","1.571,5","1.458,3","1.684,4","1.772,0","1.448,3","1.497,5","1.577,8"
Hà Nội (Láng),"1.363,0","1.462,0","1.234,0","1.413,0","1.256,0","1.063,6","909,7","1.227,8","1.168,0","1.322,0","1.339,8","1.075,2","1.274,2","1.325,0"
Bãi Cháy,"1.457,0","1.409,0","1.338,0","1.602,2","1.285,6","1.430,8","1.147,0","1.278,7","1.396,4","1.570,7","1.525,0","1.344,0","1.480,8","1.366,3"
Nam Định,"1.418,0","1.396,0","1.215,0","1.454,3","1.305,0","1.164,6","1.153,4","1.219,6","1.258,0","1.519,4","1.351,0","1.158,1","1.431,7","1.537,2"
Vinh,"1.558,0","1.564,0","1.314,0","1.523,8","1.484,0","1.188,2","1.460,6","1.372,9","1.502,4","1.750,8","1.536,5","1.408,8","1.665,2","1.844,6"
Huế,"1.899,0","1.659,0","1.546,0","1.860,2","1.973,8","1.497,5","1.865,9","1.765,9","2.025,1","2.237,0","1.754,2","1.792,8","1.953,7","2.190,0"
Đà Nẵng,"2.193,0","2.002,0","1.860,0","2.112,8","1.434,0","1.781,6","2.101,3","1.975,5","2.208,6","2.432,5","2.125,3","2.046,6","2.063,2","2.318,4"
Qui Nhơn,"2.401,0","2.411,0","2.289,0","2.426,0","2.528,6","2.178,7","2.567,5","2.340,9","2.638,1","2.857,7","2.509,5","2.345,5","2.445,2","2.767,2"
Pleiku,"2.455,0","2.248,0","2.349,0","2.329,6","2.323,6","2.214,9","2.469,8","2.310,2","2.548,7","2.756,7","2.426,4","2.285,6","2.310,5","2.525,8"
Đà Lạt,"2.213,0","1.950,0","1.920,0","2.029,1","2.029,1","1.912,8","2.111,4","2.019,9","2.117,9","2.261,9","2.103,2","1.924,2","2.048,0","2.314,0"
Nha Trang,"2.712,0","2.502,0","2.407,0","2.493,1","2.527,3","2.374,3","2.688,1","2.498,0","2.705,8","2.638,0","2.511,2","2.342,1","2.502,3","2.731,4"
Vũng Tàu,"2.613,0","2.349,0","2.509,0","2.575,9","2.575,9","2.435,3","2.661,5","2.328,3","2.693,8","2.937,8","2.690,3","2.582,5","2.593,9","2.814,0"
Cà Mau,"2.175,0","1.965,0","1.939,0","1.914,3","1.914,3","1.892,9","2.071,9","1.987,0","2.195,8","2.373,4","2.104,6","1.947,0","1.963,7","2.063,9"

