"Số giờ nắng các tháng trong năm tại một số trạm quan trắc chia theo Năm, Tỉnh, thành phố và Tháng"
,1,2,3,4,5,6,7,8,9,10,11,12
2019
Lai Châu,"131,5","246,6","190,4","241,5","231,0","127,4","91,1","187,1","185,1","174,4","164,9","219,4"
Sơn La,"103,3","229,3","200,0","261,9","234,6","187,3","147,0","198,6","212,3","203,0","185,1","227,6"
Tuyên Quang,"25,4","88,6","72,0","116,6","105,6","176,5","155,9","202,5","227,0","146,4","116,8","144,5"
Hà Nội,"28,5","78,6","44,6","98,3","95,5","137,8","139,8","137,0","183,7","127,0","126,1","128,1"
Bãi Cháy,"32,0","65,2","31,0","72,0","117,4","150,7","143,4","139,9","192,2","152,0","148,4","122,1"
Nam Định,"29,3","86,8","44,1","106,9","128,5","208,1","176,0","145,3","195,3","142,1","128,4","146,4"
Vinh,"49,1","119,9","81,4","202,6","189,6","270,8","242,6","153,4","172,3","168,8","86,3","107,8"
Huế,"81,0","203,9","157,6","229,8","236,0","293,3","231,4","166,0","147,3","225,8","118,8","99,1"
Đà Nẵng,"103,4","224,0","191,0","238,7","258,0","280,1","228,8","193,7","163,9","212,8","126,7","97,3"
Qui Nhơn,"172,8","255,7","275,1","303,5","301,3","307,7","257,6","243,9","161,6","223,7","123,3","141,0"
Pleiku,"260,5","270,6","258,8","228,9","221,8","185,7","152,3","120,0","124,1","225,5","196,7","280,9"
Đà Lạt,"224,7","239,2","219,1","209,7","192,0","202,0","149,7","142,6","103,8","177,7","177,7","275,8"
Nha Trang,"170,2","241,2","273,4","302,0","278,3","256,1","217,1","261,2","183,2","217,0","149,5","182,2"
Vũng Tàu,"238,5","259,4","298,1","299,7","257,7","200,3","204,9","203,0","174,6","246,3","200,5","231,0"
Cà Mau,"180,3","223,1","257,1","245,3","190,7","110,7","141,1","133,8","130,3","121,7","157,1","172,7"
2018
Lai Châu,"127,5","153,0","176,5","196,8","190,0","84,4","158,4","127,9","118,5","130,3","235,2","146,5"
Sơn La,"129,6","127,1","178,3","200,3","231,5","125,2","155,5","134,6","188,1","190,3","220,0","140,0"
Tuyên Quang,"41,7","45,8","96,8","71,9","217,7","157,1","178,6","146,5","176,0","140,5","138,4","86,5"
Hà Nội,"24,9","24,9","83,2","63,1","208,1","156,0","130,0","124,8","118,6","133,6","115,1","91,9"
Bãi Cháy,"46,3","42,4","97,7","74,2","216,8","160,1","133,8","127,5","160,6","181,6","153,2","86,6"
Nam Định,"26,2","42,9","93,4","81,2","244,5","174,3","129,0","108,8","144,0","146,3","137,3","103,8"
Vinh,"36,3","41,3","102,0","144,7","262,5","196,2","144,3","164,2","205,9","161,2","125,1","81,5"
Huế,"42,3","88,2","156,0","179,0","279,0","191,3","162,8","188,0","232,9","224,1","132,3","77,8"
Đà Nẵng,"56,3","138,3","162,8","220,0","283,0","181,9","169,3","172,2","248,0","206,7","143,8","80,9"
Qui Nhơn,"89,8","183,0","251,9","278,3","285,7","173,5","209,4","185,8","249,4","228,5","180,6","129,3"
Pleiku,"228,5","277,0","253,2","242,8","218,8","107,2","89,2","68,4","163,1","242,1","227,3","192,9"
Đà Lạt,"189,7","236,7","229,4","211,4","189,8","100,9","114,6","89,6","149,0","212,2","179,8","144,9"
Nha Trang,"109,4","208,9","255,0","280,7","272,9","184,7","223,6","215,7","230,8","231,4","169,8","119,4"
Vũng Tàu,"176,2","240,7","281,5","296,1","238,7","196,0","191,3","182,3","205,0","220,5","195,1","170,5"
Cà Mau,"128,1","196,6","245,7","248,3","192,6","123,2","116,4","135,6","134,2","174,0","141,9","127,1"
2017
Lai Châu,"122,0","150,5","184,2","164,5","198,6","110,4","121,4","104,5","132,9","112,5","138,8","158,8"
Sơn La,"102,3","156,2","200,1","187,1","231,1","162,2","157,2","145,6","172,4","132,4","137,6","142,3"
Tuyên Quang,"67,4","73,6","61,3","102,6","196,9","146,2","141,3","147,3","177,3","120,8","115,1","98,5"
Hà Nội,"49,7","72,9","45,6","81,7","147,9","123,9","111,6","107,6","97,9","93,7","75,1","67,6"
Bãi Cháy,"93,9","105,0","25,8","96,9","154,7","147,4","143,9","139,0","156,3","145,7","53,0","82,4"
Nam Định,"49,3","70,2","26,5","94,8","154,7","144,4","107,3","125,9","148,1","89,3","68,6","79,0"
Vinh,"30,6","76,9","51,8","147,3","193,2","214,4","162,6","170,2","203,3","70,6","44,0","43,9"
Huế,"80,5","101,0","145,1","169,8","179,4","262,1","194,5","238,4","225,7","98,1","63,7","34,5"
Đà Nẵng,"102,5","104,1","181,4","202,4","211,7","288,3","188,1","254,5","243,9","133,0","83,2","53,5"
Qui Nhơn,"115,4","141,8","243,6","234,1","255,0","303,6","190,3","264,6","260,0","152,9","97,4","86,8"
Pleiku,"252,3","236,7","262,1","234,0","182,4","175,9","98,9","143,0","169,1","159,7","172,2","199,3"
Đà Lạt,"151,6","206,4","225,5","172,6","161,0","187,1","97,8","154,4","162,7","108,4","127,4","169,3"
Nha Trang,"95,5","154,9","260,0","236,3","230,2","270,1","189,3","259,2","252,8","157,1","129,0","107,7"
Vũng Tàu,"183,4","211,8","286,4","287,5","238,8","200,3","187,4","233,8","225,5","149,1","180,2","198,3"
Cà Mau,"156,1","188,0","238,5","245,1","165,4","147,6","143,7","152,3","140,9","110,2","125,8","133,4"
2016
Lai Châu,"176,1","130,0","181,8","212,3","183,1","144,8","129,4","153,4","133,1","176,1","180,9","195,2"
Sơn La,"148,2","120,2","193,3","258,4","224,0","235,0","185,5","177,7","157,5","193,9","171,8","196,0"
Tuyên Quang,"47,3","103,6","42,4","123,2","163,7","261,3","219,8","173,6","187,8","180,8","117,0","151,5"
Hà Nội,"39,6","91,7","22,7","64,6","143,5","192,8","152,4","129,4","119,4","144,5","104,2","135,0"
Bãi Cháy,"51,6","92,6","24,3","78,8","148,7","215,7","165,8","151,2","152,7","193,4","129,5","120,7"
Nam Định,"34,4","100,0","18,0","49,1","155,4","221,4","177,5","131,6","118,1","146,9","102,9","95,7"
Vinh,"37,9","101,6","34,7","125,2","235,4","251,4","262,3","181,6","111,7","88,8","67,4","38,5"
Huế,"48,9","66,5","121,2","191,6","218,0","249,4","267,7","198,2","163,9","131,5","76,3","21,0"
Đà Nẵng,"118,8","111,2","158,1","207,8","242,0","263,1","288,2","224,5","189,9","170,6","111,4","39,7"
Qui Nhơn,"179,2","148,4","221,8","282,8","265,1","264,5","306,5","239,1","223,5","180,2","144,2","54,2"
Pleiku,"263,2","285,5","276,5","263,0","221,3","178,4","199,2","114,0","125,4","151,9","212,0","136,0"
Đà Lạt,"250,4","248,6","246,2","211,8","165,7","146,9","169,1","146,5","142,4","94,7","183,3","97,6"
Nha Trang,"192,1","167,5","251,0","266,1","248,8","229,3","281,3","257,1","236,3","156,2","167,0","58,5"
Vũng Tàu,"272,8","254,0","296,0","298,0","240,1","197,8","240,3","219,5","212,7","134,7","215,3","109,1"
Cà Mau,"248,8","210,5","278,8","284,2","168,9","144,3","158,5","159,8","109,3","72,5","156,6","112,4"
2015
Lai Châu,"192,5","170,8","197,4","217,5","258,1","142,2","123,0","117,0","122,8","172,4","181,7","128,2"
Sơn La,"181,0","150,1","188,1","222,1","291,1","193,5","165,5","173,1","179,9","221,2","183,1","103,2"
Tuyên Quang,"100,0","74,9","46,8","135,2","240,2","211,3","179,1","191,2","157,0","196,0","106,5","46,2"
Hà Nội,"98,9","43,8","32,4","114,3","204,7","178,0","124,0","157,7","101,0","139,0","83,6","44,6"
Bãi Cháy,"132,2","42,1","16,3","151,0","178,8","206,5","145,1","193,8","143,6","189,0","116,5","55,8"
Nam Định,"114,5","15,7","28,5","130,8","233,7","227,7","136,5","191,8","134,8","147,7","107,3","50,4"
Vinh,"98,5","52,6","52,8","144,5","285,9","278,8","117,3","231,2","175,5","161,9","111,3","40,5"
Huế,"120,1","135,3","167,7","199,1","287,3","270,1","133,9","256,5","225,2","166,2","170,5","105,1"
Đà Nẵng,"151,5","162,4","192,4","232,2","281,7","264,4","143,7","262,2","240,0","192,8","172,9","136,3"
Qui Nhơn,"190,8","209,3","274,0","296,2","306,2","270,7","214,4","307,0","245,1","238,8","156,2","149,0"
Pleiku,"293,8","264,1","284,6","275,3","232,7","188,4","125,4","191,4","174,6","222,6","244,1","259,7"
