"Tổng lượng mưa tại một số trạm quan trắc chia theo Tỉnh, thành phố và Năm"
,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Lai Châu,"1.727,0","2.476,0","2.628,0","1.975,9","1.857,8","2.017,7","2.618,7","2.656,6","2.267,2","2.295,1","2.186,4","3.179,1","2.895,1","2.542,5"
Sơn La,"1.212,0","1.353,0","2.083,0","1.002,4","1.209,8","1.093,4","1.480,0","1.540,0","1.414,6","1.803,4","1.472,3","1.382,0","1.539,6","1.015,3"
Tuyên Quang,"1.596,0","1.294,0","1.721,0","1.284,3","1.284,3","1.449,5","1.995,3","1.648,7","1.499,2","2.173,7","1.494,9","2.372,7","1.534,2","1.455,6"
Hà Nội,"1.240,0","1.659,0","2.268,0","1.612,1","1.239,2","1.795,2","1.801,2","1.934,7","1.660,6","1.520,0","1.631,1","1.858,8","1.694,9","1.311,4"
Bãi Cháy,"1.697,0","1.432,0","1.971,0","1.567,3","1.842,0","1.823,8","2.142,0","2.724,1","1.922,0","2.367,6","2.166,8","2.640,2","2.306,1","1.498,7"
Nam Định,"1.114,0","1.087,0","1.800,0","1.643,6","1.461,4","1.767,2","1.772,8","1.757,3","1.721,4","1.349,7","1.612,3","2.318,3","1.800,1","1.265,0"
Vinh,"1.951,0","1.962,0","2.120,0","1.409,2","2.716,5","2.258,6","1.892,5","2.499,3","1.466,5","1.464,2","2.174,9","2.334,7","1.918,7","3.195,2"
Huế,"2.479,0","4.393,0","3.850,0","3.809,1","2.854,0","4.481,0","2.370,0","2.725,7","2.309,5","2.206,3","3.799,5","4.105,4","2.517,3","1.984,6"
Đà Nẵng,"2.233,0","3.063,0","2.528,0","3.017,8","2.236,8","3.647,8","1.696,1","2.316,7","2.224,1","1.872,4","2.688,7","2.285,4","2.539,1","2.150,4"
Qui Nhơn,"1.291,0","2.241,0","2.337,0","2.273,6","2.684,9","1.524,9","1.483,0","1.904,9","1.627,9","1.351,4","2.518,3","2.396,3","1.843,8","1.951,6"
Pleiku,"2.178,0","2.314,0","1.645,0","2.725,4","2.725,4","2.567,2","2.207,5","2.243,8","2.457,7","1.634,1","1.890,0","1.887,3","2.329,3","2.062,0"
Đà Lạt,"1.698,0","2.156,0","1.577,0","1.849,1","1.849,1","1.650,0","1.859,5","1.935,4","2.079,0","1.951,4","2.033,8","2.047,9","1.872,3","1.680,5"
Nha Trang,"819,0","1.565,0","2.301,0","1.392,5","2.657,9","1.327,6","1.681,7","1.365,4","972,2","1.450,5","2.392,2","1.381,1","1.769,8","980,9"
Vũng Tàu,"1.514,0","1.522,0","1.390,0","1.162,7","1.162,7","1.382,9","1.215,6","1.366,6","1.377,4","1.279,5","1.366,0","1.709,7","1.571,3","1.067,9"
Cà Mau,"2.387,0","2.606,0","2.679,0","2.244,4","2.244,4","2.445,9","2.153,9","1.941,3","2.065,7","2.297,2","2.304,1","2.175,2","2.007,8","2.262,9"

