,2013,2014,2015,2016,2017,2018,2019
Cô Tô,198,199,206,209,213,210,213
Cửa Ông,248,249,249,252,256,253,255
Bãi Cháy,216,213,213,215,219,215,217
Hòn Dấu,200,199,199,202,206,202,204
Bạch Long Vĩ,153,153,150,154,155,152,153
Sầm Sơn,195,194,193,193,197,196,196
Hòn Ngư,157,168,168,172,168,165,162
Cồn Cỏ,82,77,77,81,70,78,81
Sơn Trà,101,98,95,102,96,101,101
Quy Nhơn,162,157,153,158,162,158,158
Phú Quý,224,222,219,221,225,222,224
Trường Sa,242,241,237,239,239,242,241
Vũng Tàu,272,266,264,270,275,271,254
Côn Đảo,256,254,252,...,256,255,254
Thổ Chu,89,85,81,...,86,84,83
Phú Quốc,115,94,94,...,100,97,98
