,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude
0,1.0,Hà Nội,2011.0,12.0,1.0,67.0,17.4,51.5,95.6,21.028333,105.853333
1,1.0,Hà Nội,2012.0,12.0,1.0,79.0,18.7,25.7,42.2,21.028333,105.853333
2,1.0,Hà Nội,2013.0,12.0,1.0,68.0,16.3,22.2,158.7,21.028333,105.853333
3,1.0,Hà Nội,2014.0,1.0,1.0,71.0,17.7,0.7,119.2,21.028333,105.853333
4,1.0,Hà Nội,2014.0,2.0,1.0,79.0,17.2,16.1,31.9,21.028333,105.853333
5,1.0,Hà Nội,2015.0,4.0,1.0,78.0,25.4,21.6,114.3,21.028333,105.853333
6,1.0,Hà Nội,2016.0,3.0,1.0,83.0,20.2,24.7,22.7,21.028333,105.853333
7,1.0,Hà Nội,2016.0,10.0,2.0,71.0,28.1,45.0,144.5,21.028333,105.853333
8,1.0,Hà Nội,2016.0,12.0,1.0,64.0,21.4,9.0,135.0,21.028333,105.853333
9,1.0,Hà Nội,2017.0,5.0,24.0,76.0,28.1,105.4,147.9,21.028333,105.853333
10,1.0,Hà Nội,2017.0,6.0,19.0,74.0,30.8,212.9,123.9,21.028333,105.853333
11,1.0,Hà Nội,2017.0,7.0,44.0,80.0,29.4,449.1,111.6,21.028333,105.853333
12,1.0,Hà Nội,2017.0,8.0,48.0,79.0,29.5,283.2,107.6,21.028333,105.853333
13,1.0,Hà Nội,2017.0,9.0,16.0,82.0,29.3,266.9,97.9,21.028333,105.853333
14,1.0,Hà Nội,2017.0,10.0,21.0,76.0,26.0,259.7,93.7,21.028333,105.853333
15,1.0,Hà Nội,2017.0,11.0,15.0,71.0,22.7,19.4,75.1,21.028333,105.853333
16,1.0,Hà Nội,2017.0,12.0,16.0,70.0,18.1,47.5,67.6,21.028333,105.853333
17,1.0,Hà Nội,2018.0,1.0,11.0,78.0,18.1,16.6,24.9,21.028333,105.853333
18,1.0,Hà Nội,2018.0,2.0,8.0,70.0,17.5,10.0,24.9,21.028333,105.853333
19,1.0,Hà Nội,2018.0,3.0,34.0,77.0,22.7,34.0,83.2,21.028333,105.853333
20,1.0,Hà Nội,2018.0,4.0,89.0,77.0,24.4,58.8,63.1,21.028333,105.853333
21,1.0,Hà Nội,2018.0,5.0,36.0,75.0,29.5,209.0,208.1,21.028333,105.853333
22,1.0,Hà Nội,2018.0,6.0,42.0,71.0,30.6,188.5,156.0,21.028333,105.853333
23,1.0,Hà Nội,2018.0,7.0,63.0,74.0,30.1,428.1,130.0,21.028333,105.853333
24,1.0,Hà Nội,2018.0,8.0,18.0,80.0,29.1,313.4,124.8,21.028333,105.853333
25,1.0,Hà Nội,2018.0,9.0,79.0,74.0,29.0,229.7,118.6,21.028333,105.853333
26,1.0,Hà Nội,2018.0,10.0,15.0,73.0,26.1,94.4,133.6,21.028333,105.853333
27,1.0,Hà Nội,2018.0,11.0,17.0,75.0,24.2,28.2,115.1,21.028333,105.853333
28,1.0,Hà Nội,2018.0,12.0,8.0,79.0,19.9,84.2,91.9,21.028333,105.853333
29,1.0,Hà Nội,2019.0,1.0,7.0,77.0,18.0,16.6,28.5,21.028333,105.853333
30,1.0,Hà Nội,2019.0,2.0,9.0,79.0,22.4,28.8,78.6,21.028333,105.853333
31,1.0,Hà Nội,2019.0,3.0,11.0,81.0,22.6,15.1,44.6,21.028333,105.853333
32,1.0,Hà Nội,2019.0,4.0,36.0,82.0,27.5,166.2,98.3,21.028333,105.853333
33,1.0,Hà Nội,2019.0,5.0,24.0,79.0,28.2,96.8,95.5,21.028333,105.853333
34,1.0,Hà Nội,2019.0,6.0,20.0,72.0,31.6,97.1,137.8,21.028333,105.853333
35,1.0,Hà Nội,2019.0,7.0,5.0,72.0,31.4,135.8,139.8,21.028333,105.853333
36,1.0,Hà Nội,2019.0,8.0,15.0,78.0,29.9,488.6,137.0,21.028333,105.853333
37,1.0,Hà Nội,2019.0,9.0,32.0,68.0,29.5,113.5,183.7,21.028333,105.853333
