,Ten_Vuon_Quoc_Gia,So_Diem_Chay,Nam
0,Vườn quốc gia Yok Đôn,281,2011
1,Vườn quốc gia Chư Mom Ray,15,2011
2,Vườn quốc gia Cát Tiên,15,2011
3,Vườn quốc gia Bidoup-Núi Bà,7,2011
4,Vườn quốc gia Núi Chúa,6,2011
5,Vườn quốc gia Bù Gia Mập,5,2011
6,Vườn quốc gia Chư Yang Sin,5,2011
7,Vườn quốc gia Kon Ka Kinh,3,2011
8,Vườn quốc gia Tràm Chim,2,2011
9,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,2,2011
10,Vườn quốc gia Phước Bình,1,2011
11,Vườn quốc gia Phong Nha Kẻ Bàng,1,2011
12,Vườn quốc gia Xuân Sơn,1,2011
13,Vườn quốc gia Yok Đôn,299,2012
14,Vườn quốc gia Cát Tiên,9,2012
15,Vườn quốc gia Chư Mom Ray,8,2012
16,Vườn quốc gia Hoàng Liên,6,2012
17,Vườn quốc gia Chư Yang Sin,5,2012
18,Vườn quốc gia Phước Bình,4,2012
19,Vườn quốc gia Kon Ka Kinh,4,2012
20,Vườn quốc gia Phong Nha Kẻ Bàng,3,2012
21,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,2,2012
22,Vườn quốc gia Bidoup-Núi Bà,1,2012
23,Vườn quốc gia Xuân Sơn,1,2012
24,Vườn quốc gia Tam Đảo,1,2012
25,Vườn quốc gia Núi Chúa,1,2012
26,Vườn quốc gia Tràm Chim,1,2012
27,Vườn quốc gia Yok Đôn,177,2013
28,Vườn quốc gia Chư Mom Ray,14,2013
29,Vườn quốc gia Cát Tiên,14,2013
30,Vườn quốc gia Chư Yang Sin,8,2013
31,Vườn quốc gia Bidoup-Núi Bà,7,2013
32,Vườn quốc gia Phước Bình,7,2013
33,Vườn quốc gia Tam Đảo,4,2013
34,Vườn quốc gia Xuân Sơn,4,2013
35,Vườn quốc gia Tràm Chim,3,2013
36,Vườn quốc gia Bù Gia Mập,3,2013
37,Vườn quốc gia Kon Ka Kinh,3,2013
38,Vườn quốc gia Núi Chúa,2,2013
39,Vườn quốc gia Bến En,1,2013
40,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,1,2013
41,Vườn quốc gia Vũ Quang,1,2013
42,Vườn quốc gia Lò Gò Xa Mát,1,2013
43,Vườn quốc gia Yok Đôn,264,2014
44,Vườn quốc gia Bidoup-Núi Bà,23,2014
45,Vườn quốc gia Chư Yang Sin,11,2014
46,Vườn quốc gia Chư Mom Ray,10,2014
47,Vườn quốc gia Phước Bình,10,2014
48,Vườn quốc gia Cát Tiên,9,2014
49,Vườn quốc gia Hoàng Liên,3,2014
50,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,2,2014
51,Vườn quốc gia Tam Đảo,2,2014
52,Vườn quốc gia Ba Bể,1,2014
53,Vườn quốc gia Kon Ka Kinh,1,2014
54,Vườn quốc gia Vũ Quang,1,2014
55,Vườn quốc gia Yok Đôn,315,2015
56,Vườn quốc gia Bidoup-Núi Bà,22,2015
57,Vườn quốc gia Cát Tiên,20,2015
58,Vườn quốc gia Chư Yang Sin,19,2015
