,Thang,So_Diem_Chay,Nam
0,1,386,2011
1,2,1967,2011
2,3,1292,2011
3,4,2099,2011
4,5,960,2011
5,6,366,2011
6,7,386,2011
7,8,212,2011
8,9,100,2011
9,10,68,2011
10,11,199,2011
11,12,434,2011
12,1,711,2012
13,2,2620,2012
14,3,3580,2012
15,4,2035,2012
16,5,842,2012
17,6,290,2012
18,7,202,2012
19,8,203,2012
20,9,113,2012
21,10,128,2012
22,11,98,2012
23,12,352,2012
24,1,686,2013
25,2,881,2013
26,3,2999,2013
27,4,1425,2013
28,5,818,2013
29,6,688,2013
30,7,135,2013
31,8,166,2013
32,9,80,2013
33,10,191,2013
34,11,134,2013
35,12,481,2013
36,1,1360,2014
37,2,2126,2014
38,3,4298,2014
39,4,1650,2014
40,5,1170,2014
41,6,351,2014
42,7,122,2014
43,8,196,2014
44,9,179,2014
45,10,101,2014
46,11,124,2014
47,12,237,2014
48,1,1065,2015
49,2,1288,2015
50,3,2615,2015
51,4,2403,2015
52,5,1395,2015
53,6,734,2015
54,7,364,2015
55,8,410,2015
56,9,354,2015
57,10,288,2015
58,11,109,2015
59,12,189,2015
60,1,894,2016
61,2,1809,2016
62,3,3320,2016
63,4,3571,2016
64,5,425,2016
65,6,240,2016
66,7,282,2016
67,8,228,2016
68,9,189,2016
69,10,104,2016
70,11,71,2016
71,12,190,2016
72,1,494,2017
73,2,3891,2017
74,3,5827,2017
75,4,6375,2017
76,5,4460,2017
77,6,4949,2017
78,7,1349,2017
79,8,3001,2017
80,9,2669,2017
81,10,2391,2017
82,11,2512,2017
83,12,4689,2017
84,1,5901,2018
85,2,86148,2018
86,3,142040,2018
87,4,113836,2018
88,5,6725,2018
89,6,2463,2018
90,7,2974,2018
91,8,2170,2018
92,9,5771,2018
93,10,4645,2018
94,11,6496,2018
95,12,4851,2018
96,1,7792,2019
97,2,92090,2019
98,3,178656,2019
99,4,133833,2019
100,5,7298,2019
101,6,2565,2019
102,7,2354,2019
103,8,2281,2019
104,9,2298,2019
105,10,3920,2019
106,11,1677,2019
107,12,1241,2019
108,1,7188,2020
109,2,36146,2020
110,3,4637,2020
111,4,2689,2020
112,5,7658,2020
113,6,1733,2020
114,7,59,2020
115,8,314,2020
