,Loai_Rung,So_Diem_Chay,Nam
0,Sản xuất,6395,2011
1,Phòng hộ,1562,2011
2,Đặc dụng,608,2011
3,Sản xuất,7222,2012
4,Phòng hộ,3069,2012
5,Đặc dụng,940,2012
6,Sản xuất,5851,2013
7,Phòng hộ,2308,2013
8,Đặc dụng,589,2013
9,Sản xuất,7385,2014
10,Phòng hộ,3685,2014
11,Đặc dụng,973,2014
12,Sản xuất,7521,2015
13,Phòng hộ,2992,2015
14,Đặc dụng,857,2015
15,Sản xuất,6854,2016
16,Phòng hộ,3373,2016
17,Đặc dụng,1159,2016
18,Sản xuất,19026,2017
19,Phòng hộ,7791,2017
20,Đặc dụng,2089,2017
21,Ngoài quy hoạch,517,2017
22,Sản xuất,128420,2018
23,Phòng hộ,49485,2018
24,Đặc dụng,17200,2018
25,Ngoài quy hoạch,8466,2018
26,Sản xuất,125297,2019
27,Phòng hộ,70252,2019
28,Đặc dụng,18811,2019
29,Ngoài quy hoạch,11652,2019
30,Sản xuất,20121,2020
31,Phòng hộ,8524,2020
32,Đặc dụng,3548,2020
33,Ngoài quy hoạch,1542,2020
