,Ma_Tinh,Ten_Huyen,So_Diem_Chay,Nam
0,1,Thạch Thất,1,2011
1,1,Thạch Thất,1,2012
2,1,Thạch Thất,1,2013
3,1,Thạch Thất,1,2014
4,1,Ba Vì,1,2014
5,1,Sóc Sơn,1,2015
6,1,Sóc Sơn,3,2016
7,1,Thạch Thất,1,2016
8,1,Hoài Đức,4,2017
9,1,Quốc Oai,18,2017
10,1,Đan Phượng,3,2017
11,1,Đông Anh,19,2017
12,1,Q. Hà Đông,3,2017
13,1,Phúc Thọ,2,2017
14,1,Mê Linh,25,2017
15,1,Chương Mỹ,18,2017
16,1,Ứng Hòa,6,2017
17,1,Q. Hoàng Mai,1,2017
18,1,Thường Tín,21,2017
19,1,Q. Tây Hồ,2,2017
20,1,TX. Sơn Tây,3,2017
21,1,Gia Lâm,7,2017
22,1,Q. Cầu Giấy,2,2017
23,1,Phú Xuyên,4,2017
24,1,Mỹ Đức,3,2017
25,1,Thanh Oai,3,2017
26,1,Sóc Sơn,21,2017
27,1,Q. Bắc Từ Liêm,1,2017
28,1,Q. Long Biên,4,2017
29,1,Thanh Trì,5,2017
30,1,Thạch Thất,13,2017
31,1,Ba Vì,14,2017
32,1,Q. Nam Từ Liêm,1,2017
33,1,Hoài Đức,5,2018
34,1,Quốc Oai,20,2018
35,1,Đan Phượng,14,2018
36,1,Đông Anh,29,2018
37,1,Q. Hà Đông,6,2018
38,1,Q. Ba Đình,1,2018
39,1,Phúc Thọ,10,2018
40,1,Mê Linh,36,2018
41,1,Chương Mỹ,36,2018
42,1,Ứng Hòa,11,2018
43,1,Q. Hoàng Mai,11,2018
44,1,Thường Tín,40,2018
45,1,TX. Sơn Tây,8,2018
46,1,Gia Lâm,31,2018
47,1,Q. Cầu Giấy,3,2018
48,1,Phú Xuyên,5,2018
49,1,Mỹ Đức,14,2018
50,1,Thanh Oai,7,2018
51,1,Sóc Sơn,25,2018
52,1,Q. Bắc Từ Liêm,5,2018
53,1,Q. Long Biên,8,2018
54,1,Thanh Trì,18,2018
55,1,Thạch Thất,43,2018
56,1,Ba Vì,33,2018
57,1,Q. Đống Đa,1,2018
58,1,Hoài Đức,5,2019
59,1,Quốc Oai,5,2019
60,1,Đan Phượng,1,2019
61,1,Đông Anh,11,2019
62,1,Q. Hà Đông,1,2019
63,1,Phúc Thọ,1,2019
64,1,Mê Linh,10,2019
65,1,Chương Mỹ,35,2019
66,1,Ứng Hòa,7,2019
67,1,Q. Hoàng Mai,3,2019
68,1,Thường Tín,26,2019
69,1,TX. Sơn Tây,5,2019
70,1,Gia Lâm,5,2019
71,1,Phú Xuyên,8,2019
72,1,Mỹ Đức,5,2019
73,1,Thanh Oai,1,2019
74,1,Sóc Sơn,15,2019
75,1,Q. Bắc Từ Liêm,2,2019
76,1,Q. Long Biên,1,2019
77,1,Thanh Trì,8,2019
78,1,Thạch Thất,13,2019
79,1,Ba Vì,36,2019
80,1,Quốc Oai,5,2020
81,1,Đông Anh,2,2020
82,1,Mê Linh,8,2020
83,1,Chương Mỹ,3,2020
84,1,Thường Tín,5,2020
85,1,Thanh Oai,1,2020
86,1,Sóc Sơn,4,2020
87,1,Q. Bắc Từ Liêm,1,2020
88,1,Thạch Thất,8,2020
89,1,Ba Vì,5,2020
90,1,Q. Nam Từ Liêm,1,2020
91,2,Vị Xuyên,2,2011
92,2,Bắc Mê,15,2011
93,2,Bắc Quang,8,2011
94,2,Yên Minh,5,2011
95,2,Quang Bình,1,2011
96,2,Hoàng Su Phì,1,2011
97,2,Xín Mần,2,2011
