,Ma_Tinh,Thang,So_Diem_Chay,Nam
0,1,12,1,2011
1,1,12,1,2012
2,1,12,1,2013
3,1,1,1,2014
4,1,2,1,2014
5,1,4,1,2015
6,1,3,1,2016
7,1,10,2,2016
8,1,12,1,2016
9,1,5,24,2017
10,1,6,19,2017
11,1,7,44,2017
12,1,8,48,2017
13,1,9,16,2017
14,1,10,21,2017
15,1,11,15,2017
16,1,12,16,2017
17,1,1,11,2018
18,1,2,8,2018
19,1,3,34,2018
20,1,4,89,2018
21,1,5,36,2018
22,1,6,42,2018
23,1,7,63,2018
24,1,8,18,2018
25,1,9,79,2018
26,1,10,15,2018
27,1,11,17,2018
28,1,12,8,2018
29,1,1,7,2019
30,1,2,9,2019
31,1,3,11,2019
32,1,4,36,2019
33,1,5,24,2019
34,1,6,20,2019
35,1,7,5,2019
36,1,8,15,2019
37,1,9,32,2019
38,1,10,24,2019
39,1,11,17,2019
40,1,12,4,2019
41,1,3,1,2020
42,1,4,1,2020
43,1,5,17,2020
44,1,6,22,2020
45,1,8,2,2020
46,2,2,1,2011
47,2,3,10,2011
48,2,4,4,2011
49,2,5,7,2011
50,2,7,6,2011
51,2,8,1,2011
52,2,10,1,2011
53,2,11,2,2011
54,2,12,2,2011
55,2,2,8,2012
56,2,3,27,2012
57,2,4,11,2012
58,2,5,13,2012
59,2,6,12,2012
60,2,11,1,2012
61,2,3,15,2013
62,2,4,7,2013
63,2,5,1,2013
64,2,6,18,2013
65,2,10,2,2013
66,2,11,1,2013
67,2,12,2,2013
68,2,1,15,2014
69,2,2,6,2014
70,2,3,5,2014
71,2,4,1,2014
72,2,5,18,2014
73,2,6,2,2014
74,2,11,1,2014
75,2,12,2,2014
76,2,1,5,2015
77,2,2,13,2015
78,2,3,13,2015
79,2,4,25,2015
80,2,5,46,2015
81,2,6,7,2015
82,2,7,5,2015
83,2,8,1,2015
84,2,11,1,2015
85,2,12,3,2015
86,2,1,1,2016
87,2,2,12,2016
88,2,3,19,2016
89,2,4,10,2016
90,2,12,1,2016
91,2,2,20,2017
92,2,3,20,2017
93,2,4,54,2017
94,2,5,157,2017
95,2,6,39,2017
96,2,7,7,2017
97,2,8,6,2017
98,2,9,29,2017
99,2,10,65,2017
100,2,11,24,2017
101,2,12,24,2017
102,2,1,21,2018
103,2,2,222,2018
104,2,3,584,2018
105,2,4,540,2018
106,2,5,72,2018
107,2,6,53,2018
108,2,7,13,2018
109,2,8,1,2018
110,2,9,12,2018
111,2,10,12,2018
112,2,11,75,2018
113,2,12,135,2018
114,2,1,4,2019
115,2,2,324,2019
116,2,3,259,2019
117,2,4,846,2019
118,2,5,106,2019
119,2,6,11,2019
120,2,7,2,2019
121,2,8,16,2019
122,2,9,12,2019
123,2,10,32,2019
124,2,11,38,2019
125,2,1,11,2020
126,2,2,150,2020
127,2,3,30,2020
128,2,4,3,2020
129,2,5,117,2020
130,2,6,9,2020
131,4,2,1,2011
132,4,3,9,2011
133,4,4,14,2011
134,4,5,9,2011
135,4,7,1,2011
136,4,12,1,2011
137,4,2,2,2012
138,4,3,25,2012
139,4,4,41,2012
140,4,5,10,2012
141,4,6,1,2012
142,4,10,2,2012
143,4,3,35,2013
144,4,4,20,2013
145,4,5,1,2013
146,4,6,4,2013
147,4,8,1,2013
148,4,10,4,2013
149,4,11,1,2013
150,4,12,7,2013
151,4,1,17,2014
152,4,2,14,2014
153,4,3,7,2014
154,4,4,1,2014
155,4,5,19,2014
156,4,9,1,2014
157,4,11,1,2014
158,4,12,6,2014
159,4,1,1,2015
160,4,2,40,2015
161,4,3,25,2015
162,4,4,34,2015
163,4,5,12,2015
164,4,10,1,2015
165,4,12,2,2015
166,4,1,2,2016
167,4,2,65,2016
168,4,3,97,2016
169,4,4,50,2016
170,4,5,14,2016
171,4,9,3,2016
172,4,10,6,2016
173,4,11,7,2016
174,4,12,29,2016
175,4,1,3,2017
176,4,2,49,2017
177,4,3,21,2017
178,4,4,53,2017
179,4,5,49,2017
180,4,6,22,2017
181,4,7,2,2017
182,4,8,2,2017
183,4,9,45,2017
184,4,10,37,2017
185,4,11,7,2017
186,4,12,13,2017
187,4,1,16,2018
188,4,2,211,2018
189,4,3,889,2018
190,4,4,552,2018
191,4,5,30,2018
192,4,6,3,2018
193,4,7,6,2018
194,4,8,1,2018
195,4,9,6,2018
196,4,10,10,2018
197,4,11,37,2018
198,4,12,158,2018
199,4,1,1,2019
200,4,2,124,2019
201,4,3,231,2019
202,4,4,628,2019
203,4,5,24,2019
204,4,8,1,2019
205,4,9,24,2019
206,4,10,24,2019
207,4,11,97,2019
208,4,12,4,2019
209,4,1,7,2020
210,4,2,201,2020
211,4,3,21,2020
212,4,4,4,2020
213,4,5,42,2020
214,4,6,1,2020
215,6,3,6,2011
216,6,4,10,2011
217,6,5,43,2011
218,6,6,3,2011
219,6,7,4,2011
220,6,11,1,2011
221,6,12,4,2011
222,6,3,19,2012
223,6,4,102,2012
224,6,5,22,2012
225,6,6,5,2012
226,6,3,19,2013
227,6,4,38,2013
228,6,5,27,2013
229,6,6,7,2013
230,6,10,1,2013
231,6,12,9,2013
232,6,1,24,2014
233,6,2,5,2014
234,6,3,1,2014
235,6,4,1,2014
236,6,5,20,2014
237,6,10,1,2014
238,6,12,7,2014
239,6,1,2,2015
240,6,2,16,2015
241,6,3,3,2015
242,6,4,63,2015
243,6,5,46,2015
244,6,6,3,2015
245,6,8,1,2015
246,6,2,59,2016
247,6,3,32,2016
248,6,4,76,2016
249,6,5,34,2016
250,6,6,27,2016
251,6,7,3,2016
252,6,8,2,2016
253,6,9,2,2016
254,6,10,2,2016
255,6,11,3,2016
256,6,12,30,2016
257,6,2,46,2017
258,6,3,1,2017
259,6,4,81,2017
260,6,5,100,2017
261,6,6,38,2017
262,6,7,5,2017
263,6,8,11,2017
264,6,9,20,2017
265,6,10,25,2017
266,6,11,5,2017
267,6,12,11,2017
268,6,1,2,2018
269,6,2,165,2018
270,6,3,484,2018
271,6,4,217,2018
272,6,5,52,2018
273,6,6,7,2018
274,6,7,3,2018
275,6,9,25,2018
276,6,10,25,2018
277,6,11,48,2018
278,6,12,89,2018
279,6,1,5,2019
280,6,2,152,2019
281,6,3,70,2019
282,6,4,632,2019
283,6,5,44,2019
284,6,6,3,2019
285,6,8,7,2019
286,6,9,12,2019
287,6,10,13,2019
288,6,11,73,2019
289,6,12,2,2019
290,6,1,3,2020
291,6,2,26,2020
292,6,3,6,2020
293,6,4,17,2020
294,6,5,53,2020
295,6,6,8,2020
296,8,2,10,2011
297,8,3,9,2011
298,8,4,4,2011
299,8,5,19,2011
300,8,6,1,2011
301,8,7,4,2011
302,8,10,1,2011
303,8,11,1,2011
304,8,2,4,2012
305,8,3,24,2012
306,8,4,31,2012
307,8,5,21,2012
308,8,6,5,2012
309,8,9,1,2012
310,8,12,1,2012
311,8,3,37,2013
312,8,4,9,2013
313,8,5,3,2013
314,8,6,7,2013
315,8,10,1,2013
316,8,12,15,2013
317,8,1,25,2014
318,8,2,8,2014
319,8,3,2,2014
320,8,4,4,2014
321,8,5,20,2014
322,8,6,2,2014
323,8,10,3,2014
324,8,12,7,2014
325,8,1,2,2015
326,8,2,14,2015
327,8,3,17,2015
328,8,4,46,2015
329,8,5,42,2015
330,8,6,7,2015
331,8,7,6,2015
332,8,8,5,2015
333,8,9,2,2015
334,8,10,7,2015
335,8,1,1,2016
336,8,2,31,2016
337,8,3,12,2016
338,8,4,14,2016
339,8,12,3,2016
340,8,1,5,2017
341,8,2,52,2017
342,8,3,8,2017
343,8,4,76,2017
344,8,5,143,2017
345,8,6,50,2017
346,8,7,15,2017
347,8,8,7,2017
348,8,9,22,2017
349,8,10,36,2017
350,8,11,36,2017
351,8,12,33,2017
352,8,1,25,2018
353,8,2,260,2018
354,8,3,592,2018
355,8,4,349,2018
356,8,5,73,2018
357,8,6,47,2018
358,8,7,25,2018
359,8,8,5,2018
360,8,9,26,2018
361,8,10,37,2018
362,8,11,95,2018
363,8,12,115,2018
364,8,1,11,2019
365,8,2,384,2019
366,8,3,408,2019
367,8,4,941,2019
368,8,5,76,2019
369,8,6,14,2019
370,8,7,1,2019
371,8,8,5,2019
372,8,9,14,2019
373,8,10,28,2019
374,8,11,60,2019
375,8,12,3,2019
376,8,1,7,2020
377,8,2,156,2020
378,8,3,13,2020
379,8,4,6,2020
380,8,5,61,2020
381,8,6,11,2020
382,10,3,2,2011
383,10,4,1,2011
384,10,5,4,2011
385,10,6,1,2011
386,10,7,1,2011
387,10,11,1,2011
388,10,1,3,2012
389,10,2,21,2012
390,10,3,36,2012
391,10,4,4,2012
392,10,5,16,2012
393,10,6,1,2012
394,10,12,1,2012
395,10,2,1,2013
396,10,3,15,2013
397,10,5,3,2013
398,10,6,5,2013
399,10,10,2,2013
400,10,12,4,2013
401,10,1,16,2014
402,10,2,26,2014
403,10,3,29,2014
404,10,4,2,2014
405,10,5,5,2014
406,10,6,1,2014
407,10,10,1,2014
408,10,1,1,2015
409,10,2,7,2015
410,10,3,25,2015
411,10,4,19,2015
412,10,5,6,2015
413,10,6,1,2015
414,10,7,1,2015
415,10,10,1,2015
416,10,1,2,2016
417,10,2,18,2016
418,10,3,54,2016
419,10,4,9,2016
420,10,1,3,2017
421,10,2,11,2017
422,10,3,12,2017
423,10,4,31,2017
424,10,5,42,2017
425,10,6,47,2017
426,10,7,9,2017
427,10,8,3,2017
428,10,9,25,2017
