Name,Year,Month,value
Lai Châu,2019,1,88.0
Sơn La,2019,1,80.0
Tuyên Quang,2019,1,84.0
Hà Nội,2019,1,77.0
Bãi Cháy,2019,1,85.0
Nam Định,2019,1,86.0
Vinh,2019,1,89.0
Huế,2019,1,94.0
Đà Nẵng,2019,1,86.0
Qui Nhơn,2019,1,80.0
Pleiku,2019,1,74.0
Đà Lạt,2019,1,82.0
Nha Trang,2019,1,78.0
Vũng Tàu,2019,1,74.0
Cà Mau,2019,1,77.0
Lai Châu,2018,1,83.0
Sơn La,2018,1,77.0
Tuyên Quang,2018,1,83.0
Hà Nội,2018,1,78.0
Bãi Cháy,2018,1,80.0
Nam Định,2018,1,84.0
Vinh,2018,1,90.0
Huế,2018,1,92.0
Đà Nẵng,2018,1,86.0
Qui Nhơn,2018,1,85.0
Pleiku,2018,1,78.0
Đà Lạt,2018,1,84.0
Nha Trang,2018,1,80.0
Vũng Tàu,2018,1,79.0
Cà Mau,2018,1,80.0
Lai Châu,2017,1,83.0
Sơn La,2017,1,82.0
Tuyên Quang,2017,1,83.0
Hà Nội,2017,1,77.0
Bãi Cháy,2017,1,82.0
Nam Định,2017,1,84.0
Vinh,2017,1,91.0
Huế,2017,1,93.0
Đà Nẵng,2017,1,85.0
Qui Nhơn,2017,1,82.0
Pleiku,2017,1,78.0
Đà Lạt,2017,1,82.0
Nha Trang,2017,1,79.0
Vũng Tàu,2017,1,77.0
Cà Mau,2017,1,76.0
Lai Châu,2016,1,83.0
Sơn La,2016,1,84.0
Tuyên Quang,2016,1,87.0
Hà Nội,2016,1,82.0
Bãi Cháy,2016,1,87.0
Nam Định,2016,1,88.0
Vinh,2016,1,89.0
Huế,2016,1,93.0
Đà Nẵng,2016,1,86.0
Qui Nhơn,2016,1,86.0
Pleiku,2016,1,78.0
Đà Lạt,2016,1,84.0
Nha Trang,2016,1,81.0
Vũng Tàu,2016,1,76.0
Cà Mau,2016,1,78.0
Lai Châu,2015,1,75.0
Sơn La,2015,1,80.0
Tuyên Quang,2015,1,82.0
Hà Nội,2015,1,78.0
Bãi Cháy,2015,1,72.0
Nam Định,2015,1,82.0
Vinh,2015,1,88.0
Huế,2015,1,89.0
Đà Nẵng,2015,1,82.0
Qui Nhơn,2015,1,77.0
Pleiku,2015,1,75.0
Đà Lạt,2015,1,81.0
Nha Trang,2015,1,74.0
Vũng Tàu,2015,1,77.0
Cà Mau,2015,1,79.0
Lai Châu,2014,1,76.0
Sơn La,2014,1,77.0
Tuyên Quang,2014,1,77.0
Hà Nội,2014,1,71.0
Bãi Cháy,2014,1,76.0
Nam Định,2014,1,79.0
Vinh,2014,1,84.0
Huế,2014,1,90.0
Đà Nẵng,2014,1,82.0
Qui Nhơn,2014,1,76.0
Pleiku,2014,1,71.0
Đà Lạt,2014,1,78.0
Nha Trang,2014,1,72.0
Vũng Tàu,2014,1,71.0
Cà Mau,2014,1,76.0
Lai Châu,2013,1,89.0
Sơn La,2013,1,84.0
Tuyên Quang,2013,1,84.0
Hà Nội,2013,1,82.0
Bãi Cháy,2013,1,82.0
Nam Định,2013,1,87.0
Vinh,2013,1,90.0
Huế,2013,1,90.0
Đà Nẵng,2013,1,84.0
Qui Nhơn,2013,1,79.0
Pleiku,2013,1,74.0
Đà Lạt,2013,1,81.0
Nha Trang,2013,1,74.0
Vũng Tàu,2013,1,75.0
Cà Mau,2013,1,78.0
Lai Châu,2012,1,84.0
Sơn La,2012,1,85.0
Tuyên Quang,2012,1,86.0
Hà Nội,2012,1,82.0
Bãi Cháy,2012,1,89.0
Nam Định,2012,1,91.0
Vinh,2012,1,94.0
Huế,2012,1,95.0
Đà Nẵng,2012,1,87.0
Qui Nhơn,2012,1,81.0
Pleiku,2012,1,76.0
Đà Lạt,2012,1,81.0
Nha Trang,2012,1,78.0
Vũng Tàu,2012,1,77.0
