,Name,Year,Month,value
0,Lai Châu,2019,1,14.8
1,Sơn La,2019,1,16.5
2,Tuyên Quang,2019,1,17.8
3,Hà Nội,2019,1,18.0
4,Bãi Cháy,2019,1,17.5
5,Nam Định,2019,1,17.6
6,Vinh,2019,1,18.8
7,Huế,2019,1,20.4
8,Đà Nẵng,2019,1,22.4
9,Qui Nhơn,2019,1,24.3
10,Pleiku,2019,1,20.4
11,Đà Lạt,2019,1,16.3
12,Nha Trang,2019,1,24.9
13,Vũng Tàu,2019,1,26.8
14,Cà Mau,2019,1,27.0
15,Lai Châu,2018,1,14.4
16,Sơn La,2018,1,15.7
17,Tuyên Quang,2018,1,17.8
18,Hà Nội,2018,1,18.1
19,Bãi Cháy,2018,1,17.2
20,Nam Định,2018,1,17.7
21,Vinh,2018,1,18.5
22,Huế,2018,1,20.3
23,Đà Nẵng,2018,1,22.3
24,Qui Nhơn,2018,1,23.7
25,Pleiku,2018,1,21.0
26,Đà Lạt,2018,1,17.5
27,Nha Trang,2018,1,25.1
28,Vũng Tàu,2018,1,26.5
29,Cà Mau,2018,1,26.7
30,Lai Châu,2017,1,14.8
31,Sơn La,2017,1,17.1
32,Tuyên Quang,2017,1,19.0
33,Hà Nội,2017,1,19.7
34,Bãi Cháy,2017,1,19.2
35,Nam Định,2017,1,19.2
36,Vinh,2017,1,19.6
37,Huế,2017,1,21.4
38,Đà Nẵng,2017,1,23.1
39,Qui Nhơn,2017,1,24.6
40,Pleiku,2017,1,20.8
41,Đà Lạt,2017,1,17.1
42,Nha Trang,2017,1,25.3
43,Vũng Tàu,2017,1,26.7
44,Cà Mau,2017,1,27.3
45,Lai Châu,2016,1,13.4
46,Sơn La,2016,1,15.2
47,Tuyên Quang,2016,1,16.7
48,Hà Nội,2016,1,17.1
49,Bãi Cháy,2016,1,16.4
50,Nam Định,2016,1,17.0
51,Vinh,2016,1,18.3
52,Huế,2016,1,20.9
53,Đà Nẵng,2016,1,23.2
54,Qui Nhơn,2016,1,25.0
55,Pleiku,2016,1,22.1
56,Đà Lạt,2016,1,17.7
57,Nha Trang,2016,1,25.8
58,Vũng Tàu,2016,1,27.6
59,Cà Mau,2016,1,27.9
60,Lai Châu,2015,1,13.7
61,Sơn La,2015,1,14.8
62,Tuyên Quang,2015,1,17.2
63,Hà Nội,2015,1,18.1
64,Bãi Cháy,2015,1,16.8
65,Nam Định,2015,1,17.5
66,Vinh,2015,1,17.8
67,Huế,2015,1,19.5
68,Đà Nẵng,2015,1,21.1
69,Qui Nhơn,2015,1,22.6
70,Pleiku,2015,1,18.7
71,Đà Lạt,2015,1,15.5
72,Nha Trang,2015,1,23.2
73,Vũng Tàu,2015,1,25.2
74,Cà Mau,2015,1,25.6
75,Lai Châu,2014,1,13.6
76,Sơn La,2014,1,14.4
77,Tuyên Quang,2014,1,16.2
78,Hà Nội,2014,1,17.7
79,Bãi Cháy,2014,1,16.6
80,Nam Định,2014,1,17.2
81,Vinh,2014,1,17.3
82,Huế,2014,1,18.7
83,Đà Nẵng,2014,1,20.3
84,Qui Nhơn,2014,1,22.2
85,Pleiku,2014,1,17.8
86,Đà Lạt,2014,1,14.8
87,Nha Trang,2014,1,23.1
88,Vũng Tàu,2014,1,25.0
89,Cà Mau,2014,1,25.3
90,Lai Châu,2013,1,13.5
91,Sơn La,2013,1,14.7
92,Tuyên Quang,2013,1,15.0
93,Hà Nội,2013,1,15.3
94,Bãi Cháy,2013,1,15.5
95,Nam Định,2013,1,15.1
96,Vinh,2013,1,16.8
97,Huế,2013,1,19.8
98,Đà Nẵng,2013,1,21.9
99,Qui Nhơn,2013,1,23.8
100,Pleiku,2013,1,19.8
101,Đà Lạt,2013,1,16.1
102,Nha Trang,2013,1,24.7
103,Vũng Tàu,2013,1,26.2
104,Cà Mau,2013,1,26.5
105,Lai Châu,2012,1,13.2
106,Sơn La,2012,1,14.2
107,Tuyên Quang,2012,1,14.8
108,Hà Nội,2012,1,14.6
109,Bãi Cháy,2012,1,14.4
110,Nam Định,2012,1,14.4
111,Vinh,2012,1,16.4
112,Huế,2012,1,19.3
113,Đà Nẵng,2012,1,21.4
114,Qui Nhơn,2012,1,23.7
115,Pleiku,2012,1,20.2
116,Đà Lạt,2012,1,16.9
117,Nha Trang,2012,1,24.4
118,Vũng Tàu,2012,1,26.2
119,Cà Mau,2012,1,26.6
120,Lai Châu,2011,1,15.9
121,Sơn La,2011,1,11.7
122,Tuyên Quang,2011,1,12.5
123,Hà Nội,2011,1,12.8
124,Bãi Cháy,2011,1,12.8
125,Nam Định,2011,1,12.5
126,Vinh,2011,1,14.2
127,Huế,2011,1,17.0
128,Đà Nẵng,2011,1,20.0
129,Qui Nhơn,2011,1,22.8
130,Pleiku,2011,1,18.5
131,Đà Lạt,2011,1,15.9
132,Nha Trang,2011,1,24.0
133,Vũng Tàu,2011,1,25.8
134,Cà Mau,2011,1,26.3
135,Lai Châu,2010,1,19.2
136,Sơn La,2010,1,17.4
137,Tuyên Quang,2010,1,15.2
138,Hà Nội,2010,1,18.1
139,Bãi Cháy,2010,1,17.3
140,Nam Định,2010,1,17.7
141,Vinh,2010,1,18.9
142,Huế,2010,1,21.1
143,Đà Nẵng,2010,1,23.1
144,Qui Nhơn,2010,1,24.5
145,Pleiku,2010,1,17.8
146,Đà Lạt,2010,1,14.8
147,Nha Trang,2010,1,24.8
148,Vũng Tàu,2010,1,25.4
149,Cà Mau,2010,1,25.1
150,Lai Châu,2009,1,16.6
151,Sơn La,2009,1,13.5
152,Tuyên Quang,2009,1,15.2
153,Hà Nội,2009,1,16.0
154,Bãi Cháy,2009,1,15.4
155,Nam Định,2009,1,15.7
156,Vinh,2009,1,16.5
157,Huế,2009,1,18.5
158,Đà Nẵng,2009,1,20.6
159,Qui Nhơn,2009,1,22.5
160,Pleiku,2009,1,17.8
161,Đà Lạt,2009,1,14.8
162,Nha Trang,2009,1,23.5
163,Vũng Tàu,2009,1,25.4
164,Cà Mau,2009,1,25.1
165,Lai Châu,2008,1,18.3
166,Sơn La,2008,1,15.0
167,Tuyên Quang,2008,1,15.1
168,Hà Nội,2008,1,15.2
169,Bãi Cháy,2008,1,15.1
170,Nam Định,2008,1,15.1
171,Vinh,2008,1,17.3
