,Name,Year,Month,value
0,Cô Tô,2019,1,209.0
1,Cửa Ông,2019,1,253.0
2,Bãi Cháy,2019,1,214.0
3,Hòn Dấu,2019,1,204.0
4,Bạch Long Vĩ,2019,1,148.0
5,Sầm Sơn,2019,1,193.0
6,Hòn Ngư,2019,1,159.0
7,Cồn Cỏ,2019,1,89.0
8,Sơn Trà,2019,1,113.0
9,Quy Nhơn,2019,1,172.0
10,Phú Quý,2019,1,229.0
11,Trường Sa,2019,1,241.0
12,Vũng Tàu,2019,1,293.0
13,Côn Đảo,2019,1,275.0
14,Thổ Chu,2019,1,102.0
15,Phú Quốc,2019,1,115.0
16,Cô Tô,2018,1,205.0
17,Cửa Ông,2018,1,251.0
18,Bãi Cháy,2018,1,211.0
19,Hòn Dấu,2018,1,199.0
20,Bạch Long Vĩ,2018,1,145.0
21,Sầm Sơn,2018,1,190.0
22,Hòn Ngư,2018,1,163.0
23,Cồn Cỏ,2018,1,90.0
24,Sơn Trà,2018,1,108.0
25,Quy Nhơn,2018,1,164.0
26,Phú Quý,2018,1,223.0
27,Trường Sa,2018,1,244.0
28,Vũng Tàu,2018,1,285.0
29,Côn Đảo,2018,1,267.0
30,Thổ Chu,2018,1,95.0
31,Phú Quốc,2018,1,109.0
32,Cô Tô,2017,1,214.0
33,Cửa Ông,2017,1,256.0
34,Bãi Cháy,2017,1,220.0
35,Hòn Dấu,2017,1,208.0
36,Bạch Long Vĩ,2017,1,151.0
37,Sầm Sơn,2017,1,191.0
38,Hòn Ngư,2017,1,173.0
39,Cồn Cỏ,2017,1,89.0
40,Sơn Trà,2017,1,116.0
41,Quy Nhơn,2017,1,171.0
42,Phú Quý,2017,1,231.0
43,Trường Sa,2017,1,239.0
44,Vũng Tàu,2017,1,294.0
45,Côn Đảo,2017,1,274.0
46,Thổ Chu,2017,1,105.0
47,Phú Quốc,2017,1,116.0
48,Cô Tô,2016,1,201.0
49,Cửa Ông,2016,1,249.0
50,Bãi Cháy,2016,1,213.0
51,Hòn Dấu,2016,1,201.0
52,Bạch Long Vĩ,2016,1,149.0
53,Sầm Sơn,2016,1,189.0
54,Hòn Ngư,2016,1,178.0
55,Cồn Cỏ,2016,1,89.0
56,Sơn Trà,2016,1,107.0
57,Quy Nhơn,2016,1,163.0
58,Phú Quý,2016,1,224.0
59,Trường Sa,2016,1,238.0
60,Vũng Tàu,2016,1,283.0
64,Cô Tô,2015,1,199.0
65,Cửa Ông,2015,1,241.0
66,Bãi Cháy,2015,1,208.0
67,Hòn Dấu,2015,1,195.0
68,Bạch Long Vĩ,2015,1,135.0
69,Sầm Sơn,2015,1,189.0
70,Hòn Ngư,2015,1,166.0
71,Cồn Cỏ,2015,1,85.0
72,Sơn Trà,2015,1,101.0
73,Quy Nhơn,2015,1,161.0
74,Phú Quý,2015,1,224.0
75,Trường Sa,2015,1,239.0
76,Vũng Tàu,2015,1,280.0
77,Côn Đảo,2015,1,268.0
78,Thổ Chu,2015,1,98.0
79,Phú Quốc,2015,1,107.0
80,Cô Tô,2014,1,189.0
81,Cửa Ông,2014,1,240.0
82,Bãi Cháy,2014,1,204.0
83,Hòn Dấu,2014,1,191.0
84,Bạch Long Vĩ,2014,1,145.0
85,Sầm Sơn,2014,1,188.0
86,Hòn Ngư,2014,1,152.0
87,Cồn Cỏ,2014,1,81.0
88,Sơn Trà,2014,1,99.0
89,Quy Nhơn,2014,1,159.0
90,Phú Quý,2014,1,221.0
91,Trường Sa,2014,1,246.0
92,Vũng Tàu,2014,1,281.0
93,Côn Đảo,2014,1,265.0
94,Thổ Chu,2014,1,98.0
95,Phú Quốc,2014,1,106.0
96,Cô Tô,2019,2,206.0
97,Cửa Ông,2019,2,250.0
98,Bãi Cháy,2019,2,211.0
99,Hòn Dấu,2019,2,200.0
100,Bạch Long Vĩ,2019,2,145.0
101,Sầm Sơn,2019,2,190.0
102,Hòn Ngư,2019,2,149.0
103,Cồn Cỏ,2019,2,76.0
104,Sơn Trà,2019,2,93.0
105,Quy Nhơn,2019,2,153.0
106,Phú Quý,2019,2,221.0
107,Trường Sa,2019,2,241.0
108,Vũng Tàu,2019,2,275.0
109,Côn Đảo,2019,2,258.0
110,Thổ Chu,2019,2,87.0
111,Phú Quốc,2019,2,102.0
112,Cô Tô,2018,2,197.0
113,Cửa Ông,2018,2,242.0
114,Bãi Cháy,2018,2,211.0
115,Hòn Dấu,2018,2,192.0
116,Bạch Long Vĩ,2018,2,143.0
117,Sầm Sơn,2018,2,189.0
118,Hòn Ngư,2018,2,145.0
119,Cồn Cỏ,2018,2,79.0
120,Sơn Trà,2018,2,99.0
121,Quy Nhơn,2018,2,157.0
122,Phú Quý,2018,2,222.0
123,Trường Sa,2018,2,242.0
