,Name,Year,value
0,Cô Tô,2013,198.0
1,Cửa Ông,2013,248.0
2,Bãi Cháy,2013,216.0
3,Hòn Dấu,2013,200.0
4,Bạch Long Vĩ,2013,153.0
5,Sầm Sơn,2013,195.0
6,Hòn Ngư,2013,157.0
7,Cồn Cỏ,2013,82.0
8,Sơn Trà,2013,101.0
9,Quy Nhơn,2013,162.0
10,Phú Quý,2013,224.0
11,Trường Sa,2013,242.0
12,Vũng Tàu,2013,272.0
13,Côn Đảo,2013,256.0
14,Thổ Chu,2013,89.0
15,Phú Quốc,2013,115.0
16,Cô Tô,2014,199.0
17,Cửa Ông,2014,249.0
18,Bãi Cháy,2014,213.0
19,Hòn Dấu,2014,199.0
20,Bạch Long Vĩ,2014,153.0
21,Sầm Sơn,2014,194.0
22,Hòn Ngư,2014,168.0
23,Cồn Cỏ,2014,77.0
24,Sơn Trà,2014,98.0
25,Quy Nhơn,2014,157.0
26,Phú Quý,2014,222.0
27,Trường Sa,2014,241.0
28,Vũng Tàu,2014,266.0
29,Côn Đảo,2014,254.0
30,Thổ Chu,2014,85.0
31,Phú Quốc,2014,94.0
32,Cô Tô,2015,206.0
33,Cửa Ông,2015,249.0
34,Bãi Cháy,2015,213.0
35,Hòn Dấu,2015,199.0
36,Bạch Long Vĩ,2015,150.0
37,Sầm Sơn,2015,193.0
38,Hòn Ngư,2015,168.0
39,Cồn Cỏ,2015,77.0
40,Sơn Trà,2015,95.0
41,Quy Nhơn,2015,153.0
42,Phú Quý,2015,219.0
43,Trường Sa,2015,237.0
44,Vũng Tàu,2015,264.0
45,Côn Đảo,2015,252.0
46,Thổ Chu,2015,81.0
47,Phú Quốc,2015,94.0
48,Cô Tô,2016,209.0
49,Cửa Ông,2016,252.0
50,Bãi Cháy,2016,215.0
51,Hòn Dấu,2016,202.0
52,Bạch Long Vĩ,2016,154.0
53,Sầm Sơn,2016,193.0
54,Hòn Ngư,2016,172.0
55,Cồn Cỏ,2016,81.0
56,Sơn Trà,2016,102.0
57,Quy Nhơn,2016,158.0
58,Phú Quý,2016,221.0
59,Trường Sa,2016,239.0
60,Vũng Tàu,2016,270.0
64,Cô Tô,2017,213.0
65,Cửa Ông,2017,256.0
66,Bãi Cháy,2017,219.0
67,Hòn Dấu,2017,206.0
68,Bạch Long Vĩ,2017,155.0
69,Sầm Sơn,2017,197.0
70,Hòn Ngư,2017,168.0
71,Cồn Cỏ,2017,70.0
72,Sơn Trà,2017,96.0
73,Quy Nhơn,2017,162.0
74,Phú Quý,2017,225.0
75,Trường Sa,2017,239.0
76,Vũng Tàu,2017,275.0
77,Côn Đảo,2017,256.0
78,Thổ Chu,2017,86.0
79,Phú Quốc,2017,100.0
80,Cô Tô,2018,210.0
81,Cửa Ông,2018,253.0
82,Bãi Cháy,2018,215.0
83,Hòn Dấu,2018,202.0
84,Bạch Long Vĩ,2018,152.0
85,Sầm Sơn,2018,196.0
86,Hòn Ngư,2018,165.0
87,Cồn Cỏ,2018,78.0
88,Sơn Trà,2018,101.0
89,Quy Nhơn,2018,158.0
90,Phú Quý,2018,222.0
91,Trường Sa,2018,242.0
92,Vũng Tàu,2018,271.0
93,Côn Đảo,2018,255.0
94,Thổ Chu,2018,84.0
95,Phú Quốc,2018,97.0
96,Cô Tô,2019,213.0
97,Cửa Ông,2019,255.0
98,Bãi Cháy,2019,217.0
99,Hòn Dấu,2019,204.0
100,Bạch Long Vĩ,2019,153.0
101,Sầm Sơn,2019,196.0
102,Hòn Ngư,2019,162.0
103,Cồn Cỏ,2019,81.0
104,Sơn Trà,2019,101.0
105,Quy Nhơn,2019,158.0
106,Phú Quý,2019,224.0
107,Trường Sa,2019,241.0
108,Vũng Tàu,2019,254.0
109,Côn Đảo,2019,254.0
110,Thổ Chu,2019,83.0
111,Phú Quốc,2019,98.0
